genet.ID,Home.nursery,Other.name,Collection Site,Latitude,Longitude,Collected by,Collection date,Collection permit
F-M-9,FWC,9,East Washerwoman Shoal,24.66427,-81.07655,FWC,4/28/10,FKNMS-2015-129-A2
F-M-12,FWC,12,near Delta Shoal,24.63965,-81.0662,FWC,5/6/10,FKNMS-2015-129-A2
F-M-13,FWC,13,Jeff's Patch,24.69767,-80.9581,FWC,5/5/10,FKNMS-2015-129-A2
F-M-14,FWC,14,Jeff's Patch,24.69756,-80.95852,FWC,5/5/10,FKNMS-2015-129-A2
F-M-20,FWC,20,off Long Key,24.77885,-80.7349,FWC,4/20/10,FKNMS-2015-129-A2
F-M-21,FWC,21,Stag party,24.75825,-80.76598,FWC,1/19/11,FKNMS-2015-129-A2
T-DT-1,FWC,C1441,,,,,,
T-DT-2,FWC,C1446,,,,,,
1,NSU,n/a,Nearshore Broward County,26.2109,-80.0858,NSU,4/29/10,SAL-10-1086A-SCRP
2,NSU,n/a,Nearshore Broward County,26.1906,-80.0876,NSU,4/29/10,SAL-10-1086A-SCRP
4,NSU,n/a,Nearshore Broward County,26.1581,-80.0906,NSU,4/28/10,SAL-10-1086A-SCRP
5,NSU,n/a,Nearshore Broward County,26.1563,-80.0905,NSU,4/28/10,SAL-10-1086A-SCRP
6,NSU,n/a,Nearshore Broward County,26.1415,-80.0977,NSU,4/28/10,SAL-10-1086A-SCRP
7,NSU,n/a,Nearshore Broward County,26.1364,-80.0931,NSU,4/27/10,SAL-10-1086A-SCRP
8,NSU,n/a,Nearshore Broward County,26.1328,-80.0943,NSU,4/27/10,SAL-10-1086A-SCRP
13,NSU,n/a,Nearshore Broward County,26.1494,-80.0971,NSU,4/28/10,SAL-10-1086A-SCRP
14,NSU,n/a,Nearshore Broward County,26.076,-80.1043,NSU,4/28/10,SAL-10-1086A-SCRP
15,NSU,n/a,Nearshore Broward County,26.0687,-80.1043,NSU,4/27/10,SAL-10-1086A-SCRP
20,NSU,n/a,Nearshore Broward County,25.9997,-80.108,NSU,4/27/10,SAL-10-1086A-SCRP
2a,NSU,n/a,Nearshore Broward County,26.1478,-80.0966,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP
3a,NSU,n/a,Nearshore Broward County,26.2228,-80.0844,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP
4a,NSU,n/a,Nearshore Broward County,26.1673,-80.0903,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP
5a,NSU,n/a,Nearshore Broward County,26.1632,-80.0905,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP
6a,NSU,n/a,Nearshore Broward County,26.1067,-80.0967,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP
8a,NSU,n/a,Nearshore Broward County,26.0572,-80.1056,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP
9a,NSU,n/a,Nearshore Broward County,26.0249,-80.1042,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP
Yungs-A,UM,,Patch Reef just south of Fowey Rocks lighthouse,25.33'51.05N,80.6'17.64W,UM,4/20/18,SAL-18-1723-SCRP
Acerv 1,UM,,Patch Reef East of Old Rhodes Key,25.20'20.83N,80.11'33.47'W,UM,7/8/07,BISC-2009-SCI-0013
Acerv 3,UM,,Patch Reef East of Old Rhodes Key,25.18'30.17N,80.12'2.05'W,UM,7/16/07,BISC-2009-SCI-0013
Thicket 3,UM,TT,Patch Reef East of the southern end of Elliot Key,25.23'19.92'N,80.9'45.90'W,UM,7/8/07,BISC-2009-SCI-0013
Marker 9,UM,,"Patch Reef off of Sands Key, by Marker 9",25.29'42.78'N,80.8'37.26'W,UM,7/11/07,BISC-2009-SCI-0013
Elkhorn,UM,,Elkhorn Reef; reef off of Totten Key,"25.21'47.34""N",80.9'56.88'W,UM,6/26/07,BISC-2009-SCI-0013
Cheetos-b,UM,,Patch Reef East of Old Rhodes Key,25.19'20.71'N,80.10'56.21'W,UM,2009,BISC-2009-SCI-0013
Stagreef-A,UM,,Stagreef,25.43'41.94'N,80.6'1.26'W,UM,2009,BISC-2009-SCI-0013
Sunny Isles-C,UM,,Sunny Isles,25.56'44.64'N,80.6'33.96'W,UM,4/6/18,SAL-18-1723-SCRP
Miami Beach-D,UM,,Miami Beach,25.50'53.88'N,80.6'13.68'W,UM,2009,BISC-2009-SCI-0013
Kelsey's-1,UM,,Patch Reef East of the southern end of Elliot Key,25.23'20.04'N,80.9'45.72'W,UM,2009,BISC-2009-SCI-0013
North Midchannel-A,UM,,Patch reef off of northern end of Elliot Key,25.27.7704'N,80.8.5524'W,UM,2009,BISC-2009-SCI-0013
CoopersA,UM,,Patch reef off of northern end of Sands Key,25.30.411'N,80.07.264'W,UM,7/11/07,BISC-2009-SCI-0013
Steph's-A,UM,,Patch Reef East of Elliot Key,25.26'28.68'N,80.8'1.68'W,UM,2009,BISC-2009-SCI-0013
Acerv 2,UM,,Patch Reef East of Old Rhodes Key,25.18.774'N,80.11.929'W,UM,7/16/07,SAL-18-1723-SCRP
M-L-4,Mote,4,patch E. of Looe Research,24.56935,-81.38168,Mote,2/23/08,FKNMS-2007-041 (TNC - Meaghan Johnson)
M-L-8,Mote,8,mid-channel patch off Summerland,24.58353,-81.43298,Mote,2/23/08,FKNMS-2007-041 (TNC - Meaghan Johnson)
M-L-10,Mote,10,Chad's nearshore heads,24.61515,-81.37917,Mote,2/23/08,FKNMS-2007-041 (TNC - Meaghan Johnson)
M-L-13,Mote,13,Munson Reef,24.59592,-81.37162,Mote,12/1/09,FKNMS-2009-099 (TNC - Meaghan Johnson)
M-L-20,Mote,20,nearshore field trial site,24.62167,-81.36313,Mote,12/15/09,FKNMS-2009-099 (TNC - Meaghan Johnson)
M-L-36,Mote,36,offshore patch N. of Looe Key,24.5615,-81.40788,Mote,4/1/10,FKNMS-2009-099 (TNC - Meaghan Johnson)
M-L-38,Mote,38,nursery reef,24.56306,-81.40063,Mote,4/5/10,FKNMS-2009-099 (TNC - Meaghan Johnson)
M-L-44,Mote,44,Big Pine Shoals,24.5686,-81.3265,Mote,5/21/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson)
M-L-46,Mote,46,Wonderland,24.5608,-81.50143,Mote,5/25/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson)
M-L-47,Mote,47,patch 1.8nm WSW of Wonderland,24.54835,-81.5332,Mote,5/25/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson)
M-L-48,Mote,48,Maryland Shoals Rockpiles,24.5215,-81.5769,Mote,5/28/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson)
M-L-51,Mote,51,ledge 1.2 nm E of American Shoals,24.52735,-81.49895,Mote,10/1/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson)
M-L-54,Mote,54,W. end of offshore patches N. of Looe,24.55903,-81.41293,Mote,11/11/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson)
M-L-56,Mote,56,W. end of offshore patches N. of Looe,24.55912,-81.41357,Mote,11/11/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson)
M-L-58,Mote,58,Lions Den,24.52328,-81.53572,Mote,11/16/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson)
M-L-63,Mote,63,Super Stag,24.52983,-81.64069,Mote,5/21/13,FKNMS-2011-150 (TNC - Caitlin Lustic)
M-L-70,Mote,70,patch 0.6nm WSW of Wonderland,24.55717,-81.51013,Mote,5/51/15,FKNMS-2011-150-A3 (TNC - Caitlin Lustic)
M-L-75,Mote,75,ledge west of Looe,24.5401,-81.44882,Mote,12/15/15,FKNMS-2011-150-A3 (TNC - Caitlin Lustic)
M-L-76,Mote,76,patch W. of Erinn's reef,24.52658,-81.50102,Mote,2/17/16,FKNMS-2015-163 (Mote - Erich Bartels)
M-L-77,Mote,77,another patch E. of Erinn's reef,24.52999,-81.48959,Mote,2/17/16,FKNMS-2015-163 (Mote - Erich Bartels)
M-L-78,Mote,78,another patch E. of Erinn's reef,24.52999,-81.48959,Mote,2/17/16,FKNMS-2015-163 (Mote - Erich Bartels)
M-L-79,Mote,79,patch E. of American,24.5264,-81.50517,Mote,2/29/16,FKNMS-2015-163 (Mote - Erich Bartels)
M-L-80,Mote,80,patch E. of American,24.5264,-81.50517,Mote,2/29/16,FKNMS-2015-163 (Mote - Erich Bartels)
M-L-88,Mote,88,ledge W. of American,24.51766,-81.5441,Mote,3/2/16,FKNMS-2015-163 (Mote - Erich Bartels)
F-M-19,Mote,19,off Long Key,24.7763,-80.73651,FWC,4/20/10,FKNMS-2015-129-A2
,Mote,U13,,,,,,
,Mote,U28,,,,,,
,Mote,U79,,,,,,
,Mote,U80,,,,,,
F-M-1,Mote,,,,,,,
